QUECTION_REFF_ID|QUECTION|ANSWERS|CORRECT_ANSWERS
9021FD26-0310-2B5A-2735-EC4846CA6C38|lobortis. Class aptent taciti sociosqu ad litora|adipiscing. Mauris molestie pharetra nibh. Aliquam ornare,|Quisque ornare tortor at
4CB96C51-6DE1-5C42-EA14-C772D948456A|et netus|erat volutpat. Nulla dignissim. Maecenas ornare egestas ligula. Nullam feugiat|inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare.
C16243D8-8B69-5A14-8AC3-98B50BB922CB|ultricies sem magna nec|dictum|sapien. Aenean massa. Integer vitae
966DD45A-8C4E-FE64-498C-400E5812F67B|nisi. Mauris nulla. Integer urna. Vivamus molestie dapibus|et malesuada|luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis.
47769CEC-D4A9-A62B-AC5D-2EC0FB56DB5B|sed leo. Cras vehicula aliquet libero.|tellus. Nunc lectus pede, ultrices a, auctor non,|lorem fringilla
57B215D9-CAB0-D954-1055-49103287C9A6|volutpat. Nulla dignissim. Maecenas ornare egestas ligula.|odio vel est tempor bibendum. Donec felis orci, adipiscing non,|Donec at arcu. Vestibulum ante ipsum primis in faucibus
6120F6D1-A6A6-9A9B-F84D-4140A6D68DA8|erat eget ipsum. Suspendisse sagittis.|pellentesque eget, dictum placerat, augue. Sed molestie. Sed id risus|congue, elit sed consequat auctor, nunc
970E2CB5-CF27-53D5-89F4-8A47D25B42CB|luctus, ipsum|magna. Nam ligula elit, pretium et, rutrum non, hendrerit|faucibus ut, nulla. Cras
C8F60BE8-CAFF-FEBF-C358-E5384D923473|nibh. Aliquam|dolor dapibus gravida. Aliquam tincidunt, nunc ac|adipiscing elit. Curabitur sed tortor. Integer
4775A504-7DB5-32BD-220F-588B6A33BE02|sed pede. Cum|Cras dolor dolor, tempus non, lacinia at, iaculis quis, pede.|suscipit
F3A73FCA-96C9-C3C3-618E-80BF1ECFCCA8|eleifend egestas. Sed pharetra, felis eget varius ultrices, mauris|lobortis quam a felis ullamcorper viverra.|Sed auctor odio a purus. Duis elementum, dui quis accumsan
4806A5C3-13D4-BDC6-72E4-2EC799D8A4EF|dui. Cras pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate|laoreet lectus quis massa. Mauris vestibulum, neque sed dictum|vitae aliquam eros turpis non enim. Mauris
9A1651A2-A77A-30B4-56B8-0BEB923AF3CA|ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi|dictum ultricies|mi. Duis
E05BD445-BEFF-8B79-EC6E-1783867CC07A|est tempor bibendum. Donec felis orci, adipiscing non, luctus sit|Nulla aliquet.|nec, cursus a, enim.
1047CFF7-A52B-F7AF-83DA-6CDAF8D651B4|augue ac ipsum. Phasellus vitae|penatibus et magnis|massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt
0F02E3F0-CC2C-EFEF-3E45-BDC587CD8EC2|eleifend. Cras sed leo. Cras vehicula aliquet libero. Integer in|in, tempus eu, ligula. Aenean euismod|Curabitur egestas nunc sed libero. Proin sed turpis nec mauris
E1407C01-EB4F-9DB7-BDF6-F5EFC59D7534|enim.|bibendum|bibendum sed, est. Nunc laoreet lectus
E73469AD-0F7E-C6A2-0856-211DB75F8A6A|scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est.|massa. Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet libero.|In scelerisque scelerisque
3A629928-CBC3-D4BF-D093-025AEFC62C5D|iaculis, lacus pede sagittis augue, eu tempor|sem molestie sodales. Mauris blandit enim|ad litora torquent per conubia nostra, per inceptos hymenaeos.
74FC8818-1526-2478-3861-C79FEA586D38|fringilla ornare placerat, orci lacus|quis lectus. Nullam suscipit, est ac|dignissim tempor
4F492F71-9990-D072-9776-AC9704DF616D|Nam consequat dolor|a ultricies|lobortis quam a
9CC24CD0-8117-7924-7D78-0E716FB3F2D4|magna|et|malesuada malesuada. Integer id magna et ipsum cursus vestibulum.
81881654-AAC3-FFC7-7E51-E974F3C8C5CA|dis parturient montes, nascetur ridiculus mus. Proin vel arcu|egestas blandit. Nam|mauris ipsum porta elit,
4CBC5823-ED07-CD49-9FEF-ABA59E016246|Duis at lacus. Quisque purus|a, malesuada id, erat. Etiam vestibulum|mi
95D41DE8-73EF-F1D6-2B18-9DC1F0C2FBB2|id enim. Curabitur massa. Vestibulum accumsan|placerat,|Cras eu tellus eu augue
46AD11D5-B36D-34F9-7C3A-62980C0EDBE8|nulla. Cras|risus. Nunc ac|velit in aliquet lobortis, nisi nibh
74504E53-A6DC-465F-AAEF-9547E95CAF93|nec|velit dui, semper et, lacinia vitae,|mi lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy
93B3464A-A71D-2E1D-BF06-34017DAAD1A2|elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris|sem magna nec quam. Curabitur vel lectus.|massa. Quisque porttitor eros
0434A084-4FB9-3CA4-BBDB-05F458449875|augue porttitor interdum. Sed auctor odio|cubilia Curae; Phasellus|Phasellus dolor elit, pellentesque a, facilisis
8DB36971-2A11-3E4C-827B-A3E46972B7AD|augue. Sed molestie.|nunc est, mollis non, cursus non, egestas a, dui.|tempor augue ac ipsum. Phasellus vitae mauris sit
FC1A5E45-70D3-8ADE-CF2F-AAC2AB2D5C83|massa. Mauris vestibulum, neque sed dictum eleifend,|non,|amet ultricies sem magna nec quam. Curabitur vel
C0FAA693-0DEF-32A7-A7D7-4FBDD8AE4D05|pede,|ante. Nunc mauris sapien, cursus in, hendrerit consectetuer,|ut erat.
1141BE76-117D-E9B6-EC29-BD81C699ADD8|massa. Quisque porttitor eros|malesuada fringilla|ac tellus. Suspendisse sed dolor. Fusce mi lorem, vehicula et,
